H_A_per_m,B_T
-2.181427319539262442e+02,-1.286907820988446582e+00
-2.142509523181851705e+02,-1.285142943094958357e+00
-2.100694052757405359e+02,-1.283205404822323370e+00
-2.056052076627367740e+02,-1.281088116293683132e+00
-2.008658506684828922e+02,-1.278783148641827738e+00
-1.958591876641942235e+02,-1.276281662809053641e+00
-1.905934215642446361e+02,-1.273573827917687362e+00
-1.850770917398070310e+02,-1.270648727784745580e+00
-1.793190605053132174e+02,-1.267494253891807254e+00
-1.733284991987072772e+02,-1.264096982808195824e+00
-1.671148738769472004e+02,-1.260442035690304330e+00
-1.606879306486728183e+02,-1.256512917027808873e+00
-1.540576806664002731e+02,-1.252291329260207808e+00
-1.472343848009846283e+02,-1.247756959221353990e+00
-1.402285380214603379e+02,-1.242887231555893646e+00
-1.330508535037013189e+02,-1.237657023251940824e+00
-1.257122464916199363e+02,-1.232038332200263042e+00
-1.182238179349045168e+02,-1.225999891158748634e+00
-1.105968379275004025e+02,-1.219506716589879414e+00
-1.028427289712241191e+02,-1.212519579440740181e+00
-9.497304908907736376e+01,-1.204994381907666945e+00
-8.699947481290476503e+01,-1.196881420381856076e+00
-7.893378407015848097e+01,-1.188124509854863398e+00
-7.078783899455356732e+01,-1.178659938731443590e+00
-6.257356868540651362e+01,-1.168415214785065714e+00
-5.430295194044568063e+01,-1.157307552257109018e+00
-4.598799998679455570e+01,-1.145242035953227155e+00
-3.764073923474845174e+01,-1.132109379380287217e+00
-2.927319407883417668e+01,-1.117783168722869869e+00
-2.089736977046136346e+01,-1.102116450238366463e+00
-1.252523538630170918e+01,-1.084937471763768535e+00
-4.168706916277399088e+00,-1.066044324044406189e+00
4.160369505226438669e+00,-1.045198136408332479e+00
1.245023420158166338e+01,-1.022114351631670637e+00
2.068923036659945680e+01,-9.964514177311363241e-01
2.886582026502395593e+01,-9.677959601628369768e-01
3.696860119860636473e+01,-9.356430889457596489e-01
4.498632121595078814e+01,-8.993698738184681130e-01
5.290789454475345366e+01,-8.581990565520574155e-01
6.072241672556464209e+01,-8.111485394640135516e-01
6.841917942669576291e+01,-7.569596978769125295e-01
7.598768492042978551e+01,-6.939933904764491457e-01
8.341766020127037962e+01,-6.200753203597376695e-01
9.069907072752687327e+01,-5.322594406690365210e-01
9.782213376816443429e+01,-4.264538460588163105e-01
1.047773313374835737e+02,-2.968059362891470876e-01
1.115554227008264832e+02,-1.346444771803536611e-01
1.181474564352230630e+02,7.344477827202507136e-02
1.245447820295516266e+02,3.075181662810214656e-01
1.307390610095300190e+02,4.829267104836170166e-01
1.367222775735882010e+02,6.159853722606454252e-01
1.424867487264075123e+02,7.200799429271821372e-01
1.480251338977033129e+02,8.034753324711285671e-01
1.533304440345968942e+02,8.715490652994997145e-01
1.583960501567206904e+02,9.279494303038787750e-01
1.632156913640203015e+02,9.752374254869328185e-01
1.677834822880184618e+02,1.015262343240403542e+00
1.720939199781518596e+02,1.049391575106373597e+00
1.761418902156287913e+02,1.078656617967287623e+00
1.799226732480865962e+02,1.103848867013478507e+00
1.834319489392042897e+02,1.125584226756245698e+00
1.866658013282592492e+02,1.144347747301795337e+00
1.896207225954923956e+02,1.160525110050996345e+00
1.922936164300085125e+02,1.174425241608643145e+00
1.946818007977931586e+02,1.186296808788653845e+00
1.967830101083024488e+02,1.196340406576669624e+00
1.985953967789446324e+02,1.204717655552434818e+00
2.001175321976206476e+02,1.211558039680542986e+00
2.013484070843690290e+02,1.216964060097490252e+00
2.022874312539916275e+02,1.221015107870751848e+00
2.029344327823963283e+02,1.223770339352283409e+00
2.032896565802279838e+02,1.225270753216544994e+00
2.033537623781859622e+02,1.225540606625010076e+00
2.031278221292533033e+02,1.225430729302682265e+00
2.026133168338666053e+02,1.225180009903389822e+00
2.018121327948592807e+02,1.224788175360446152e+00
2.007265573097920139e+02,1.224254483862806220e+00
1.993592738090585783e+02,1.223577722473817131e+00
1.977133564489090816e+02,1.222756201271703258e+00
1.957922641692736647e+02,1.221787743966336937e+00
1.935998342269965633e+02,1.220669674900747737e+00
1.911402752157862892e+02,1.219398802298294671e+00
1.884181595848857569e+02,1.217971397566573133e+00
1.854384156691247370e+02,1.216383170415838988e+00
1.822063192436613690e+02,1.214629239491916923e+00
1.787274846173542358e+02,1.212704098159965271e+00
1.750078552792929258e+02,1.210601575004642161e+00
1.710536941136082874e+02,1.208314788532577566e+00
1.668715731982298109e+02,1.205836095472657021e+00
1.624683632037863390e+02,1.203157031966272994e+00
1.578512224093618386e+02,1.200268246820761053e+00
