H_A_per_m,B_T
-1.705491705506574363e-01,9.967566441292092794e-01
-1.894912190473405644e-01,9.963949823919906468e-01
-2.084189209999749437e-01,9.960333052042309454e-01
-2.273322908149566501e-01,9.956716126010060064e-01
-2.462313428550260141e-01,9.953099046178699449e-01
-2.651160914829233661e-01,9.949481812900227151e-01
-2.839865510177332908e-01,9.945864426531454416e-01
-3.028427357785403728e-01,9.942246887425648660e-01
-3.216846600407734513e-01,9.938629195940920091e-01
-3.405123380798613653e-01,9.935011352431845078e-01
-3.593257841712329537e-01,9.931393357249458376e-01
-3.781250125466613099e-01,9.927775210749660850e-01
-3.969100374379195273e-01,9.924156913284813974e-01
-4.156808730331249535e-01,9.920538465212168644e-01
-4.344375335640506819e-01,9.916919866877025314e-01
-4.531800331315025687e-01,9.913301118646429266e-01
-4.719083859235979617e-01,9.909682220867060964e-01
-4.906226060411427170e-01,9.906063173898951302e-01
-5.093227076285984367e-01,9.902443978090177401e-01
-5.280087047431152314e-01,9.898824633802197903e-01
-5.466806114854989573e-01,9.895205141384515457e-01
-5.653384418692439795e-01,9.891585501200055308e-01
-5.839822099951561540e-01,9.887965713591301276e-01
-6.026119298330741003e-01,9.884345778922651871e-01
-6.212276153964921832e-01,9.880725697546546282e-01
-6.398292806989047676e-01,9.877105469811915395e-01
-6.584169396664947271e-01,9.873485096081190404e-01
-6.769906062691006809e-01,9.869864576704820980e-01
-6.955502944329055026e-01,9.866243912038269448e-01
-7.140960180404363200e-01,9.862623102442045209e-01
-7.326277910178760067e-01,9.859002148264652821e-01
-7.511456272477516904e-01,9.855381049859639475e-01
-7.696495405689347535e-01,9.851759807585611650e-01
-7.881395448639523238e-01,9.848138421789158770e-01
-8.066156538843642920e-01,9.844516892839052513e-01
-8.250778815126977861e-01,9.840895221074936750e-01
-8.435262414568569511e-01,9.837273406867228509e-01
-8.619607475557131693e-01,9.833651450557194806e-01
-8.803814135171705857e-01,9.830029352508352636e-01
-8.987882530927890912e-01,9.826407113072193056e-01
-9.171812799904728308e-01,9.822784732605338576e-01
-9.355605079181259498e-01,9.819162211460964462e-01
-9.539259505836525932e-01,9.815539549988784307e-01
-9.722776216076454148e-01,9.811916748552290679e-01
-9.906155346543528140e-01,9.808293807502926898e-01
-1.008939703344367445e+00,9.804670727197315472e-01
-1.027250141298281960e+00,9.801047507988641661e-01
-1.045546862093033269e+00,9.797424150235297668e-01
-1.063829879305558279e+00,9.793800654292241781e-01
-1.082099206512793899e+00,9.790177020511006134e-01
-1.100354857248021290e+00,9.786553249248346464e-01
-1.118596845044521615e+00,9.782929340857595690e-01
-1.136825183435576037e+00,9.779305295688653921e-01
-1.155039885867154226e+00,9.775681114105360114e-01
-1.173240965828881599e+00,9.772056796459466232e-01
-1.191428436766727827e+00,9.768432343107997795e-01
-1.209602312126662582e+00,9.764807754404570828e-01
-1.227762605310999788e+00,9.761183030708098229e-01
-1.245909329765709117e+00,9.757558172365374816e-01
-1.264042498849448748e+00,9.753933179737218628e-01
-1.282162125920876861e+00,9.750308053181061529e-01
-1.300268224338651635e+00,9.746682793050942539e-01
-1.318360807461431250e+00,9.743057399697494514e-01
-1.336439888604218140e+00,9.739431873476697143e-01
-1.354505481038358994e+00,9.735806214749901377e-01
-1.372557598078856245e+00,9.732180423866317875e-01
-1.390596252997056581e+00,9.728554501180521896e-01
-1.408621459020650946e+00,9.724928447052491043e-01
-1.426633229420986027e+00,9.721302261830035985e-01
-1.444631577382097021e+00,9.717675945875164922e-01
-1.462616516088019125e+00,9.714049499546524302e-01
-1.480588058766443282e+00,9.710422923190582534e-01
-1.498546218557748944e+00,9.706796217168048857e-01
-1.516491008602315560e+00,9.703169381836275198e-01
-1.534422442040522583e+00,9.699542417549250617e-01
-1.552340532012749463e+00,9.695915324657596868e-01
-1.570245291615719907e+00,9.692288103517401332e-01
-1.588136733902501874e+00,9.688660754490250326e-01
-1.606014871969819069e+00,9.685033277925523265e-01
-1.623879718870739453e+00,9.681405674178102938e-01
-1.641731287614675239e+00,9.677777943608384392e-01
-1.659569591254694387e+00,9.674150086564546891e-01
-1.677394642756553367e+00,9.670522103409178172e-01
-1.695206455129664391e+00,9.666893994492646858e-01
-1.713005041296128184e+00,9.663265760179766684e-01
-1.730790414265356958e+00,9.659637400814220509e-01
-1.748562586915795691e+00,9.656008916763068051e-01
-1.766321572213200852e+00,9.652380308372221496e-01
-1.784067383036017418e+00,9.648751576002089214e-01
-1.801800032306346111e+00,9.645122720000829375e-01
-1.819519532858976163e+00,9.641493740731137407e-01
-1.837225897528696805e+00,9.637864638552405827e-01
-1.854919139193953015e+00,9.634235413811756965e-01
-1.872599270645878278e+00,9.630606066870898152e-01
-1.890266304719261825e+00,9.626976598079264313e-01
-1.907920254161581397e+00,9.623347007800917563e-01
-1.925561131807626225e+00,9.619717296378659244e-01
-1.943188950361218303e+00,9.616087464178916244e-01
-1.960803722569835372e+00,9.612457511555846379e-01
-1.978405461180955172e+00,9.608827438860298997e-01
-1.995994178854743950e+00,9.605197246457827243e-01
-2.013569888338679448e+00,9.601566934692677968e-01
-2.031132602292927913e+00,9.597936503923820695e-01
-2.048682333333999850e+00,9.594305954515969237e-01
-2.066219094165717252e+00,9.590675286812496703e-01
-2.083742897404590622e+00,9.587044501171541055e-01
-2.101253755623474717e+00,9.583413597957020080e-01
-2.118751681438880041e+00,9.579782577520518094e-01
-2.136236687467317097e+00,9.576151440210338706e-01
-2.153708786237984896e+00,9.572520186389625874e-01
-2.171167990280082449e+00,9.568888816418270604e-01
-2.188614312166464515e+00,9.565257330643813782e-01
-2.206047764382674359e+00,9.561625729428689935e-01
-2.223468359457910992e+00,9.557994013122981247e-01
-2.240876109877717681e+00,9.554362182082594135e-01
-2.258271028083981946e+00,9.550730236669290329e-01
-2.275653126562247053e+00,9.547098177232462568e-01
